,DH,DZDM,Cu,Zn,Ni,Pb,Ag,Co,Mo,W,As,Sb,Bi,Hg,Au,Sn,Sum,Geo_object
14608,169d1,9,6.9,50,12.2,3.3,0.044,4.2,0.51,0.68,6.2,0.42,0.28,0.0067,0.0013,2.46,93.9,SPCN
14609,169d2,9,10.5,68,22.4,17.7,0.054,7.3,0.97,3.81,9.2,0.61,0.26,0.0076,0.0013,3.58,152,SPCN
14610,170a1,9,7.7,49.7,12.8,14.2,0.101,4.4,1.06,3.23,20.2,0.6,0.3,0.0118,0.0016,3.61,129.7,SPCN
14611,170b1,9,10.6,82,16.2,30.3,0.084,8.4,1.66,1.79,20.5,1.16,0.24,0.0101,0.0015,4.45,187.5,SPCN
14612,170c1,9,8.8,47.4,11.6,18.4,0.084,4.4,0.87,2.24,7.8,0.58,0.26,0.0067,0.0012,4.33,113.5,SPCN
14613,170d2,9,6.6,38,7.3,9.8,0.057,3.9,1.05,1.93,12.7,0.7,0.23,0.0168,0.0012,3.03,102.1,SPCN
14614,187c1,9,11.8,55.2,11.5,19.2,0.053,5.1,1.09,1.84,12.5,0.55,0.21,0.0061,0.0014,3.71,128.9,SPCN
14615,187d1,9,22.9,139.9,40.1,32.3,0.076,21.3,3.82,3.09,11.5,1.08,0.28,0.0092,0.0015,4.33,289.9,SPCN
14616,188a1,9,24.4,65.2,30.8,7.6,0.065,6.7,1.77,5,27,0.83,0.27,0.0073,0.0016,11.5,188.4,SPCN
14617,188a2,9,21.9,82.1,16.5,32.3,0.077,10.6,2.38,3.99,13.8,0.72,0.26,0.0123,0.0014,3.34,200.3,SPCN
14618,188c1,9,22.8,123.6,17,23.8,0.086,8.5,1.31,1.91,6.3,0.5,0.18,0.008,0.0014,3.12,217.1,SPCN
14619,189b1,9,25.6,83.7,23.7,20,0.076,9.2,1.66,5.17,20.4,0.84,0.25,0.0073,0.0015,3.45,201.3,SPCN
14620,190a1,9,14,71.4,18.1,20.5,0.073,8.5,1.05,1.62,14.1,0.86,0.28,0.0104,0.0013,2.67,163.6,SPCN
14621,190a2,9,17,78.7,24,22.9,0.063,7.6,1.16,1.54,16.3,0.9,0.29,0.0086,0.0014,3.97,183,SPCN
14622,190b1,9,10,89.3,11.4,11.6,0.13,4.8,1.16,1.56,16,0.56,0.2,0.0148,0.0016,3.05,164.6,SPCN
14623,190b2,9,13.6,95.2,14.6,24.6,0.145,7.9,1.25,1.53,13.7,0.47,0.22,0.0148,0.0013,4.06,192.1,SPCN
14624,191a1,9,8.1,52.6,13.1,15.9,0.055,4.8,0.62,1.69,18,0.6,0.15,0.0185,0.0014,3.17,137.3,SPCN
14625,210d2,9,9.1,111.5,15.5,23.9,0.098,9.2,1.08,1.18,5.2,0.54,0.18,0.0101,0.0014,3.53,191.1,SPCN
14626,211a1,9,8.4,77.7,16.2,24.3,0.085,7.8,0.72,1.95,9.9,0.95,0.16,0.0101,0.0015,3.13,161.4,SPCN
14627,211a2,9,10,95.7,22.4,26.2,0.072,9.2,1.73,5.64,9.8,0.86,0.21,0.0101,0.0013,4.46,196.4,SPCN
14628,211b1,9,6.5,45.6,7.3,16.3,0.038,6.1,0.4,2.26,8,0.61,0.24,0.0135,0.0015,2.42,109.3,SPCN
14629,211c1,9,8.1,67.9,15.4,14.4,0.061,7.5,0.79,1.35,7.4,0.62,0.21,0.0118,0.0014,2.84,138.4,SPCN
14630,211d1,9,7.4,75,10.9,22.1,0.104,7.9,1.36,2.44,6.2,0.5,0.14,0.0135,0.0013,3,150.5,SPCN
14631,211d2,9,6.9,66,9.6,15.3,0.066,5,0.53,1.28,5.8,0.43,0.22,0.0301,0.0013,3.45,144.7,SPCN
14632,212a1,9,8.6,47.7,13.8,12.5,0.07,6.7,0.98,2.02,5.6,0.54,0.21,0.0218,0.0015,3.09,123.6,SPCN
14633,212a2,9,7.4,47.5,12.1,18.1,0.054,5.6,0.96,1.41,7.4,0.55,0.14,0.0226,0.0015,3.01,126.8,SPCN
14634,212b1,9,8.1,56.9,12.7,13.7,0.077,6.5,2.1,2.31,11.8,0.6,0.14,0.021,0.0014,3.14,139.1,SPCN
14635,212c1,9,11.2,127.6,25.1,20.1,0.168,9.8,2.91,1.34,7.8,0.47,0.21,0.016,0.0014,4.48,227.2,SPCN
14636,212d1,9,8.8,106.9,13.7,23.4,0.113,6.9,2.37,1.52,8.4,0.57,0.2,0.0168,0.0016,4.29,194,SPCN
14637,235a2,9,8.3,46.8,10.4,12.6,0.084,6.2,0.98,2,7.6,0.36,0.23,0.0105,0.0029,3.18,109.2,SPCN
14638,235b1,9,8.1,41.1,15.9,27.4,0.066,10.7,1.56,4.38,13,1.12,0.42,0.0113,0.0014,2.35,137.4,SPCN
14639,235d1,9,19.1,63,25.6,18.7,0.073,10.7,1.48,4.59,12.3,0.75,0.29,0.0105,0.0014,2.35,169.4,SPCN
14640,236a1,9,14,65.9,11.5,15.8,0.075,7.4,1.17,5.01,9.6,0.54,0.24,0.0113,0.0016,3.22,145.8,SPCN
14641,236a2,9,11,52.3,17.3,12.4,0.066,8.3,0.62,8.05,8.6,0.57,0.21,0.0105,0.0014,2.75,132.7,SPCN
14642,236b1,9,9.4,66,19.5,20.7,0.089,10.4,0.86,17.97,10.9,0.81,0.32,0.0162,0.0018,3.58,176.7,SPCN
14643,237a2,9,8,49.8,14.5,13.7,0.062,7.7,0.88,9.06,11.6,0.42,0.18,0.0089,0.0015,2.28,127.1,SPCN
14644,192a1,5,9,59.6,7,25.3,0.067,3.9,2.62,3.11,115,5.04,0.17,0.0093,0.0014,3.2,243.3,SPCN
14645,192b1,5,5.3,49.7,2.5,24.5,0.146,1.9,1.82,6.1,196,7,0.26,0.0151,0.0013,5.93,316.3,SPCN
14646,213b2,6,6.7,70.2,26.7,17.4,0.076,8,0.85,1.66,8.6,0.48,0.21,0.0176,0.0012,2.86,161.3,SPCN
14647,148d1,3,14.4,78.3,28.7,14.5,0.084,7.6,0.91,2.54,21,1.03,0.25,0.0093,0.0014,3.27,181.9,SPCN
14648,149c2,3,9.5,54.3,12.2,22.9,0.033,6,0.31,1.43,8.3,0.49,0.28,0.0125,0.0013,2.57,130.8,SPCN
14649,149d1,3,13,74,21.8,25.2,0.054,9.1,1,1.7,24.1,1.34,0.26,0.0168,0.0016,3.72,192.1,SPCN
14650,149d2,3,10.5,74,23.5,16.5,0.095,8.1,0.85,1.3,13.6,0.66,0.23,0.0136,0.0012,3.19,166.1,SPCN
14651,170a2,3,8.5,55.9,14,15.3,0.052,5.6,1.01,1.95,10.1,0.57,0.24,0.0076,0.0016,2.84,123.7,SPCN
14652,170d1,3,15.2,108.5,43.5,35.1,0.105,18.8,4.22,1.65,38.1,1.76,0.23,0.0143,0.0016,5.6,287.1,SPCN
14653,171a1,3,9,57.4,15.3,18.5,0.058,5.9,0.62,1.61,13.8,0.82,0.28,0.0126,0.0013,3.68,139.6,SPCN
14654,171a2,3,15.6,75.1,16.9,23.8,0.088,6.7,1.54,1.8,47.8,1.2,0.25,0.0101,0.0015,4.49,205.4,SPCN
14655,171c1,3,3.5,37.1,2.3,9.9,0.035,3.5,0.6,3.28,5.8,0.49,0.22,0.0084,0.0012,2.46,77.59,SPCN
14656,171c2,3,7.4,62.6,11.7,16.6,0.091,8.9,0.67,2.69,11.4,0.86,0.24,0.0109,0.0015,4.81,138.9,SPCN
14657,187b2,3,10.9,47.4,9.6,8.6,0.062,3.3,1.1,2.49,10.3,0.79,0.22,0.0061,0.0016,2.01,102.9,SPCN
14658,187d2,3,8.2,73.3,9.6,14.4,0.046,8.1,1.29,2.17,9.6,0.59,0.22,0.0092,0.0012,3.44,140.2,SPCN
14659,188b1,3,14.8,50.8,3.7,11.7,0.04,1.3,0.99,1.44,5.3,0.44,0.16,0.008,0.0016,2.41,101.1,SPCN
14660,188d1,3,16.7,75.5,14.8,15.9,0.058,7.4,1.63,19.75,12.6,0.73,0.21,0.008,0.0015,2.07,175.3,SPCN
14661,188d2,3,12.3,100.2,16.5,25.7,0.092,8,1.7,3.67,8.4,0.58,0.17,0.0104,0.0014,2.29,190,SPCN
14662,189a1,3,24.6,94.7,15.7,33.6,0.07,7.2,1.53,3.14,10,0.65,0.26,0.0198,0.0013,4.43,215.7,SPCN
14663,189a2,3,17.5,95.5,19.3,22.2,0.058,6.9,1.3,3.33,13.2,0.6,0.25,0.0167,0.0014,2.45,199.3,SPCN
14664,189b2,3,10.6,70.7,11.2,10.4,0.054,5.7,1.16,2.25,7.6,0.45,0.21,0.0092,0.0013,3.04,132.6,SPCN
14665,189c1,3,12.7,88,16.8,23.7,0.058,7.1,1,1.66,8.9,0.43,0.18,0.0154,0.0015,2.73,178.7,SPCN
14666,189c2,3,13.8,113,14.2,33.1,0.066,7.7,1.46,1.67,7.9,0.63,0.2,0.0117,0.0014,3.02,208.4,SPCN
14667,189d1,3,12.1,79.3,11.5,34.1,0.086,4.7,0.92,1.59,7.9,0.46,0.24,0.0111,0.0016,3.18,167.2,SPCN
14668,189d2,3,15.7,108,15.6,22,0.108,7,1,1.87,8.7,0.5,0.23,0.0073,0.0014,3.94,191.9,SPCN
14669,190c1,3,13.7,89.3,13.4,19,0.077,7.5,1.44,1.28,14.8,1.28,0.4,0.016,0.0014,3.76,181.9,SPCN
14670,190c2,3,27.6,61.5,19.7,14.2,0.104,6.7,0.62,6.83,9.3,0.51,0.21,0.016,0.0015,5.99,169.3,SPCN
14671,190d1,3,10.1,48.5,12,12.9,0.053,4.1,0.93,1.72,45.5,1.51,0.29,0.0193,0.0016,3.74,160.6,SPCN
14672,190d2,3,13,72.9,22.8,27.5,0.083,9.1,2.04,1.76,31.8,0.82,0.22,0.016,0.0015,4.2,202.2,SPCN
14673,191a2,3,8.9,48,15.2,19.3,0.043,6.5,0.65,1.29,31,0.97,0.19,0.0226,0.0014,3.16,157.8,SPCN
14674,191b1,3,10.7,62.5,22.5,25.2,0.09,11.9,0.92,1.73,47,1.57,0.24,0.0201,0.0014,3.88,208.3,SPCN
14675,191b2,3,9,56.3,9.9,19.8,0.072,4.5,0.94,1.92,18.4,1.08,0.2,0.0193,0.0012,3.13,144.5,SPCN
14676,191c1,3,8.6,54.4,5.1,12.6,0.044,3,0.79,1.22,12.4,0.71,0.15,0.0118,0.0014,2.66,113.5,SPCN
14677,191c2,3,7.5,44.9,5.9,9,0.057,2.4,0.56,1.52,14.8,0.51,0.22,0.0093,0.0013,2.42,99.09,SPCN
14678,191d2,3,8.3,52.4,11,7.6,0.046,4.2,0.53,1.58,13,0.67,0.19,0.0118,0.0013,2.46,113.8,SPCN
14679,192a2,3,9,69.6,18.4,17.5,0.044,9.2,3.05,4.75,50,1.46,0.22,0.0185,0.0015,3.49,205.2,SPCN
14680,209a1,3,15,97.2,25,27,0.078,10,1.66,2.87,11.3,1.05,0.29,0.0126,0.0015,4.43,208.5,SPCN
14681,209a2,3,9.8,60.8,19.2,21.9,0.073,7.9,2.92,1.38,7,0.47,0.2,0.0101,0.0015,3.82,145.6,SPCN
14682,209b1,3,8.8,56.4,21.1,11,0.092,7.5,1.5,1.71,11.3,0.57,0.18,0.0118,0.0015,6.58,138.5,SPCN
14683,209b2,3,8.8,57.7,16.4,19.8,0.059,8.2,2.79,1.61,11.7,0.66,0.15,0.011,0.0015,2.03,140.9,SPCN
14684,209d1,3,8.2,68.5,14.8,20.7,0.093,7.7,0.86,1.08,11.6,0.65,0.19,0.0101,0.0013,4.11,148.6,SPCN
14685,209d2,3,15.2,84.5,24.1,23.5,0.089,9.5,3.32,1.84,10.2,0.93,0.23,0.011,0.0015,3.54,188,SPCN
14686,210a1,3,6.4,54.1,5.4,17.2,0.068,3.7,0.73,0.68,5.3,0.52,0.24,0.0093,0.0014,3.09,106.7,SPCN
14687,210a2,3,23.2,88.9,28.6,24.8,0.078,10.5,2.68,2.27,9.8,1.09,0.34,0.0126,0.0015,3.71,208.6,SPCN
14688,210b1,3,10.3,94.6,16.4,30.6,0.149,8.4,3.71,1.61,10.2,1.02,0.23,0.0126,0.0016,6.41,196.2,SPCN
14689,210b2,3,9.2,73.1,16,15.9,0.069,6.5,1.52,1.43,7.6,0.61,0.23,0.0101,0.0015,2.96,145.2,SPCN
14690,210c1,3,8,77.4,11.4,23.9,0.101,7.9,1.44,2,6.2,0.38,0.19,0.0085,0.0011,3.1,150.5,SPCN
14691,210d1,3,8,80.1,18,22.1,0.12,7.7,1.53,1.86,8.6,0.81,0.13,0.0101,0.0011,2.55,161.6,SPCN
14692,213a1,3,8.7,61.5,12.9,17.7,0.094,7.4,0.77,1.8,7.7,0.5,0.21,0.0168,0.0015,3.75,139.8,SPCN
14693,213a2,3,7.5,71.9,15.1,16.8,0.098,8.1,1.57,2.02,6.8,0.46,0.15,0.0168,0.0013,2.89,150.2,SPCN
14694,235a1,3,6,49.6,12.1,16.9,0.076,8.9,1.1,3.02,13.7,0.61,0.12,0.0138,0.0018,2.33,128.3,SPCN
17087,0381b1,3,24.1,82.5,25,15.7,0.047,8.4,0.48,1.2,9.3,0.55,0.07,0.0131,0.0009,2.7,183.1,SPCE2
17088,0381c2,3,15.5,67.8,20.1,24.6,0.031,9.1,0.48,1.76,10.3,0.23,0.23,0.01,0.001,3.6,163.7,SPCE2
17089,0381d1,3,7.6,64.8,13.7,14.9,0.03,8.1,0.52,1.44,4.5,0.13,0.16,0.0111,0.0011,2.4,129.4,SPCE2
17090,0383b2,3,15.6,75.6,34.6,19.8,0.049,18.6,0.6,1.6,11.7,0.22,0.2,0.006,0.0008,3.5,188.1,SPCE2
17091,0383c1,3,15.6,68.5,18.5,27.3,0.052,7.8,0.6,1.36,9.6,0.35,0.22,0.0086,0.0012,3,161.5,SPCE2
17092,0383d1,3,14.9,69.1,21.9,24.6,0.069,10,0.76,2.24,7.3,0.3,0.27,0.0075,0.0014,3.7,162.6,SPCE2
17093,0384a1,3,11.7,55,17.1,16.1,0.043,12.3,0.76,1.52,7.9,0.2,0.2,0.0097,0.0012,3,135.5,SPCE2
17094,0384b1,3,8.8,46.3,17.2,23.6,0.044,6.4,0.48,1.04,5.4,0.2,0.2,0.007,0.0009,3.8,120.5,SPCE2
17095,0384b2,3,13,60.1,20.1,20.3,0.044,9.2,0.48,1.32,9.2,0.16,0.19,0.0079,0.0012,2.9,144.9,SPCE2
17096,0384c1,3,12,67.6,19,23.9,0.04,9.3,0.52,1.6,10.4,0.23,0.22,0.0079,0.001,3.8,156.5,SPCE2
17097,0384d1,3,10.7,64.9,17.5,23.7,0.04,9.9,0.48,1.76,7.2,0.33,0.2,0.008,0.001,3.3,148,SPCE2
17098,0384d2,3,10.6,69,18.7,23.5,0.067,16,0.6,1.2,5.8,0.18,0.12,0.0117,0.0009,3.2,160.7,SPCE2
17099,0386b2,3,8.3,47.9,7.5,18.9,0.03,7.8,0.72,0.8,12.6,0.25,0.17,0.0063,0.0009,1.9,113.2,SPCE2
17100,0387a1,3,10.4,50.4,10.3,13.6,0.056,9.1,0.75,1.44,8,0.24,0.18,0.0069,0.0007,2,113.4,SPCE2
17101,0387b1,3,12.5,56.3,14.1,20.4,0.067,9.2,0.8,1.73,6.1,0.31,0.19,0.0084,0.0008,2.9,133,SPCE2
17102,0387b2,3,12.6,59.6,12.4,22.9,0.038,10.4,0.4,0.53,5.2,0.52,0.19,0.0088,0.0007,2.9,136.5,SPCE2
17103,0387c1,3,8.7,55.4,9.9,19.1,0.058,8.8,0.5,0.9,8.1,0.24,0.18,0.0047,0.0009,2.7,119.3,SPCE2
17104,0387c2,3,15.2,64.3,13.8,17.7,0.073,11.9,0.7,4,6.1,0.27,0.21,0.0053,0.0007,3.7,143.3,SPCE2
17105,0387d1,3,9.6,64.7,12.3,20.8,0.035,7.3,0.54,1.67,5.9,0.31,0.17,0.007,0.0009,2,132.3,SPCE2
17106,0387d2,3,10.5,64.7,9.8,19.6,0.042,10.6,0.41,0.69,9,0.54,0.21,0.0067,0.0007,2.7,135.5,SPCE2
17107,0388a1,3,11.1,85.8,30.5,33.3,0.048,11.7,0.48,3.2,19.6,0.25,0.2,0.0595,0.0009,5.1,260.8,SPCE2
17108,0388b1,3,9.9,54.3,16.7,23.7,0.035,8.4,0.52,1.44,7.8,0.28,0.19,0.0083,0.0007,3.5,135.1,SPCE2
17109,0388c1,3,7.6,61.2,13.6,24.5,0.035,5.4,0.4,1.44,5.2,0.34,0.16,0.0074,0.0014,3.5,130.8,SPCE2
17110,0388c2,3,13,99,32.4,32.9,0.059,11.5,0.52,4.56,13.9,0.43,0.25,0.0167,0.0008,6.9,232.1,SPCE2
17111,0388d1,3,8.6,55.6,12.3,21.1,0.059,6.1,0.48,2.16,9.4,0.56,0.15,0.0131,0.0009,3.3,132.9,SPCE2
17112,0388d2,3,9.5,71.8,27.7,25.8,0.054,9.6,0.4,3.12,8.8,0.23,0.17,0.0082,0.0012,4.1,169.5,SPCE2
17113,0388d3,3,11.1,58,16.5,20.2,0.032,7.6,0.4,2,6.3,0.45,0.14,0.0173,0.0008,3.5,143.5,SPCE2
17114,0394a1,3,10.9,59.4,9.8,16.5,0.043,5.9,0.36,2.01,5.8,0.34,0.19,0.0068,0.001,2.5,120.5,SPCE2
17115,0394b1,3,11.7,74.8,15.9,29.7,0.049,6.6,0.6,1.62,8.6,0.52,0.28,0.0067,0.0009,4.6,161.7,SPCE2
17116,0394b2,3,13.3,51.1,10.8,18.6,0.044,8.6,0.75,1.09,3.9,0.46,0.31,0.0076,0.0009,3.4,120,SPCE2
17117,0394d2,3,10.2,57.8,12.7,17.6,0.043,7.7,0.47,2.4,3.9,0.55,0.16,0.0123,0.0008,3.2,129,SPCE2
17118,0395a1,3,8.6,56,16.9,15.4,0.038,7.4,0.4,3.12,5.4,0.55,0.16,0.0084,0.001,3.4,125.8,SPCE2
17119,0521c1,3,9.8,50.3,16.2,30.8,0.103,10.2,0.32,1.68,4.7,0.42,0.28,0.005,0.0008,8.6,138.4,SPCE2
17120,0521d2,3,10.2,83,20.4,31.9,0.07,7.2,0.32,0.8,4.7,0.4,0.31,0.0073,0.001,4.4,171,SPCE2
17121,0522c1,3,11,64.9,19.9,31.5,0.068,6.4,0.32,1.52,3.5,1.26,0.21,0.0106,0.0015,4.2,155.4,SPCE2
17122,0522c2,3,7.5,55.6,15,28.2,0.056,7.5,0.52,0.88,6,0.95,0.23,0.0143,0.0009,6,142.7,SPCE2
17123,0522d1,3,5.7,42.8,8,25.3,0.074,5.5,0.52,0.8,4.3,0.66,0.23,0.0102,0.001,4.5,108.6,SPCE2
17124,0523a1,3,11.5,48.9,19.4,23.3,0.062,6.8,0.44,8.64,4.2,0.7,0.2,0.0071,0.0009,4.8,136,SPCE2
17125,0523b1,3,12.2,42.3,15.5,15.9,0.081,8.4,0.56,2.56,3.9,0.24,0.3,0.0069,0.0007,4.2,113,SPCE2
17126,0523c1,3,12.2,43.1,10.9,21.2,0.089,7,0.32,0.56,3.8,0.21,0.31,0.0075,0.0011,3.4,110.6,SPCE2
17127,0523c2,3,12,57.5,22.2,24,0.046,7.1,0.38,1.2,7.2,0.74,0.48,0.0063,0.001,4,143.1,SPCE2
17128,0523d1,3,9.6,40.9,16.2,16.9,0.049,5.8,0.44,2.88,8.7,0.43,0.14,0.005,0.0008,3.9,110.9,SPCE2
17129,0523d2,3,7,50.5,14,9.5,0.046,6,0.36,0.88,5.6,0.5,0.15,0.0079,0.0008,3.8,106.2,SPCE2
17130,0538a2,3,20.7,91.2,28.2,20.6,0.091,14.6,0.6,1.08,7.8,1.08,0.1,0.0116,0.0011,3.6,201.3,SPCE2
17131,0538b1,3,28.7,86.3,34.3,17.2,0.08,13.4,0.88,1.2,5.6,1.49,0.06,0.0154,0.0008,2.9,207.5,SPCE2
17132,0538b2,3,14.8,61.5,22,19.4,0.078,12.6,1,1.32,8,1.08,0.08,0.0113,0.0009,2.8,156,SPCE2
17133,0538c1,3,23.6,87.3,30.2,16.6,0.062,15.4,0.72,1.32,9.2,0.82,0.1,0.0081,0.001,2.5,195.9,SPCE2
17134,0538c2,3,10.6,57.9,16.2,20.9,0.071,8.5,0.56,1.08,4.6,0.17,0.15,0.0089,0.0009,3.7,133.3,SPCE2
17135,0538d1,3,9.1,47.7,11.8,23.5,0.121,5.1,0.4,0.64,7.4,0.28,0.23,0.0048,0.0008,3.3,114.4,SPCE2
17136,0539a1,3,11.6,50.4,13.4,13,0.092,6.5,0.52,1.32,8.5,0.47,0.12,0.0045,0.001,3.1,113.5,SPCE2
17137,0539a2,3,15.9,65.6,26.6,15.8,0.061,20.3,0.6,1.2,13.8,2.24,0.05,0.0103,0.0008,3.6,176.1,SPCE2
17138,0539b1,3,11.9,62.2,13.5,22.9,0.15,9,0.56,2.08,15.9,1.12,0.58,0.0067,0.0007,13.5,160.1,SPCE2
17139,0539b2,3,13.4,145.1,20.5,47.5,0.06,9.8,0.52,3.84,10.4,0.5,0.26,0.005,0.001,14.3,271.2,SPCE2
17140,0539c1,3,21.9,89.1,36.7,17.2,0.057,14.4,0.44,1.68,5.9,1.16,0.05,0.0082,0.0009,2.1,198.9,SPCE2
17141,0539c2,3,27.3,106.3,28.1,26.6,0.059,14.1,0.72,1.68,5.6,1.08,0.06,0.0122,0.001,2.1,225.9,SPCE2
17142,0539d1,3,7.6,36.8,9.5,9.4,0.065,4.8,0.4,1.08,6.8,0.62,0.06,0.0077,0.0008,2.2,87.03,SPCE2
17143,0539d2,3,14.3,88.7,33.2,21.2,0.045,7.5,0.44,2.8,11.2,0.68,0.24,0.01,0.0008,2.5,192.8,SPCE2
17144,0540a1,3,10.9,61.2,21.2,28.2,0.062,7.5,0.56,2.08,7.4,1.75,0.28,0.009,0.001,3.3,153.4,SPCE2
17145,0540a2,3,9.5,152.3,14.2,25.7,0.068,7.9,0.4,1.6,10,2.76,0.4,0.007,0.001,3.1,234.9,SPCE2
17146,0540b1,3,17.3,85.4,21.5,25.1,0.082,12.1,0.8,1.88,14.2,2.02,0.31,0.0071,0.0009,3.1,190.9,SPCE2
17147,0540b2,3,11.8,58.3,19.6,27.1,0.056,6.4,0.4,1.76,7.5,2.7,0.32,0.0085,0.0008,3.4,147.8,SPCE2
17148,0540c1,3,12,59.8,19.9,22.4,0.051,8.8,0.44,3.04,10.8,1.5,0.21,0.0101,0.001,2.8,151.8,SPCE2
17149,0540d1,3,8.1,65.3,10.8,22.9,0.075,7.8,0.4,1.36,17.2,0.62,0.16,0.0085,0.0011,2.5,145.7,SPCE2
17150,0541a1,3,10.8,58.6,17.3,23.7,0.044,6,0.52,1.88,7.1,1.36,0.18,0.0118,0.0008,2.4,141.7,SPCE2
17151,0541a2,3,12.1,60.8,18.7,25.8,0.068,9.1,0.52,1.88,7.1,0.93,0.16,0.0072,0.0008,2.8,147.2,SPCE2
17152,0541b1,3,6.1,22.1,3.7,9.8,0.053,4.5,0.4,0.72,1.3,0.13,0.06,0.005,0.001,2.1,55.96,SPCE2
17153,0541c1,3,14.8,59,20,21.9,0.055,13.1,0.44,1.6,8.6,0.79,0.19,0.0099,0.0008,2.6,153,SPCE2
17154,0541c2,3,16.5,71.1,19.3,26.3,0.049,5.7,0.44,1.6,14.8,1.93,0.18,0.0081,0.0008,2.9,168.9,SPCE2
17155,0541d1,3,11.9,88.3,30.2,21.4,0.043,10,0.4,1.6,6.1,0.38,0.19,0.0076,0.0009,4.1,182.2,SPCE2
17156,0542a1,3,9.4,58.8,23.7,19.6,0.065,8.2,0.44,2.56,6.8,0.98,0.24,0.0079,0.0008,4,142.7,SPCE2
17157,0542a2,3,17.8,81.5,26.8,37.1,0.079,9.1,0.72,2,9.3,0.73,0.35,0.0069,0.0014,3.3,195.7,SPCE2
17158,0542b1,3,15.3,56.3,30.2,18,0.076,11.7,1.24,2.28,9.6,0.79,0.23,0.0084,0.0011,3.5,157.6,SPCE2
17159,0542c1,3,5.2,46.8,12,14.1,0.072,6.1,0.4,1.12,7.8,0.42,0.13,0.0063,0.0007,4.9,105.3,SPCE2
17160,0542c2,3,29.5,90.3,34.7,15.8,0.052,13.6,0.4,2,13.2,0.72,0.21,0.0126,0.0009,3.1,216.2,SPCE2
17161,0555a1,3,13.8,68,21.3,22.4,0.054,8.7,0.54,1.68,8.6,0.35,0.19,0.0073,0.0013,3.4,156.3,SPCE2
17162,0555a2,3,7.1,51,9.3,21.1,0.075,8.2,0.4,1.08,4.2,0.14,0.22,0.0081,0.001,3.1,114,SPCE2
17163,0555b1,3,18.6,63.2,14.6,23.8,0.058,6.5,0.74,1.2,4.5,0.32,0.59,0.0074,0.0009,3.3,144.8,SPCE2
17164,0555b2,3,9.8,58.1,13.8,20.5,0.078,11.5,0.4,1.08,6.2,0.23,0.2,0.01,0.0009,3.7,135.6,SPCE2
17165,0555c1,3,9.9,59.5,16.7,20.3,0.057,7.8,0.4,1.08,7.3,0.23,0.21,0.0075,0.0012,3.2,134.2,SPCE2
17166,0555c2,3,13.8,67.9,24,32.1,0.063,8.2,0.44,0.96,10.8,0.3,0.17,0.012,0.001,3.6,174.3,SPCE2
17167,0555d1,3,10.1,64.3,16.4,23.4,0.039,5.3,0.4,0.8,10.4,0.5,0.18,0.0098,0.0013,3,144.6,SPCE2
17168,0555d2,3,12.8,63.3,21.5,25.3,0.053,7.1,0.4,1.08,7.4,0.92,0.11,0.0073,0.0011,3,150.3,SPCE2
17169,0556a1,3,14.2,69.6,16.4,22.6,0.04,5.5,0.64,1.68,9.5,0.48,0.22,0.0071,0.0009,2.9,150.9,SPCE2
17170,0556a2,3,16.6,74.5,25,19.8,0.04,6.4,0.54,1.56,8.2,0.35,0.2,0.0111,0.0008,2.6,166.9,SPCE2
17171,0556b1,3,15.5,75.7,21.7,27.9,0.043,7.8,0.56,1.8,9.8,0.54,0.19,0.0106,0.0011,2.6,174.7,SPCE2
17172,0556b2,3,10.6,65,17.3,26.9,0.057,7.5,0.4,1.63,7.6,0.56,0.2,0.0134,0.001,3.2,154.3,SPCE2
17173,0556c1,3,11,75.8,16.4,24.1,0.079,8.2,0.64,1.6,10.1,0.54,0.18,0.0094,0.0008,3.6,161.6,SPCE2
17174,0556c2,3,10.1,60.5,17,19.8,0.064,6.1,0.48,1.76,8.7,0.52,0.18,0.0099,0.0009,3.3,138.4,SPCE2
17175,0556d1,3,16.6,79.7,19.5,13.9,0.044,7.2,0.38,1.92,8.5,0.52,0.16,0.0108,0.0011,2.6,161.8,SPCE2
17176,0556d2,3,17.8,73.9,24.5,16.2,0.046,9.5,0.84,1.36,10.1,0.91,0.32,0.0113,0.001,2.3,169.1,SPCE2
17177,0557a1,3,9.4,66.8,11.2,24.6,0.063,6.5,0.38,1.36,6,0.38,0.13,0.0072,0.0011,2.5,136.5,SPCE2
17178,0557a2,3,14,79.5,25.6,24.9,0.06,8.2,0.48,1.6,4.7,0.44,0.22,0.0072,0.001,4.6,171.5,SPCE2
17179,0557b1,3,15.1,66.6,19.4,21,0.092,8.2,0.4,2.36,11,0.48,0.17,0.0074,0.0009,4.2,156.4,SPCE2
17180,0557b2,3,9.9,76.3,19.2,18.9,0.09,8.8,0.4,1.92,10.5,0.45,0.23,0.0069,0.0014,4.3,157.9,SPCE2
17181,0557c1,3,21,77.8,26.5,18,0.06,12.7,1,1.52,15.1,0.78,0.25,0.0111,0.001,3.6,189.4,SPCE2
17182,0573a1,3,14.1,40.8,7.6,18.9,0.142,9,0.7,2.08,17.1,0.51,0.17,0.0097,0.001,2.6,123.4,SPCE2
17183,0573a2,3,5.6,51.1,16.9,17.5,0.047,7.2,0.37,1.41,7.6,0.34,0.26,0.0077,0.001,4.4,120.4,SPCE2
17184,0573b1,3,11.9,71.7,17.5,24.3,0.06,8.5,0.34,0.88,16.6,0.51,0.23,0.0062,0.0013,3.9,162.6,SPCE2
