,DH,DZDM,Cu,Zn,Ni,Pb,Ag,Co,Mo,W,As,Sb,Bi,Hg,Au,Sn,Sum,Geo_object
16704,1589a1,9,14.1,47.9,20.7,16.8,0.085,9.1,0.8,1.28,54.8,1.28,0.34,0.0214,0.0008,2.6,191.2,QSE
16705,1589b1,9,8.7,35.5,12.4,14.6,0.076,6.5,0.8,1.6,25.2,1.09,0.19,0.0161,0.0008,2.4,125.2,QSE
16706,1589c1,9,9.9,37.7,14.9,15.4,0.071,9.9,1.36,1.44,41,1.37,0.19,0.0161,0.0008,1.9,151.2,QSE
16707,1589d1,9,8.8,44.6,12.9,15.6,0.082,7.5,0.72,1.52,14.6,0.76,0.16,0.0136,0.0009,2.5,123.3,QSE
16708,1590a1,9,8.6,45.9,15.1,14,0.07,6.5,0.6,1.44,18.2,0.79,0.16,0.0168,0.001,2.5,130.7,QSE
16709,1590a2,9,9.5,50.3,13.7,13.9,0.088,6,0.72,1.44,23.3,0.68,0.16,0.0144,0.0008,2.8,137,QSE
16710,1590b1,9,8.9,43.7,13.7,15.9,0.095,7,0.72,1.6,17,0.63,0.17,0.0146,0.0008,2.8,126.8,QSE
16711,1590c1,9,9.2,46.5,12.8,12,0.071,6.1,0.6,1.44,19.1,0.58,0.17,0.0146,0.0007,2.4,125.6,QSE
16712,1590c2,9,11.6,49.3,12.3,13.2,0.06,5.1,0.72,1.6,19.3,0.63,0.14,0.0151,0.0011,2,131.1,QSE
16713,1590d1,9,10.4,41.6,11.7,12.5,0.068,4.6,0.52,1.44,20,0.56,0.17,0.014,0.0009,2.2,119.8,QSE
16714,1591b1,9,7.2,43.7,11,20.3,0.091,6.5,0.72,1.12,10.3,0.69,0.16,0.0122,0.0008,2.6,116.6,QSE
16715,1592a1,9,7.5,37,12.8,15,0.076,5.9,1.08,1.28,24.1,1.08,0.19,0.0122,0.0009,2.1,120.3,QSE
16716,1592b1,9,8.7,34.3,11.1,15.1,0.075,6,1.08,1.6,33.5,1.29,0.19,0.0124,0.001,2,127.3,QSE
16717,1592c1,9,8,34.8,12.1,15.3,0.075,5.1,1.16,1.28,47.3,1.22,0.19,0.0116,0.0008,1.9,140,QSE
16718,1592d1,9,8.4,35.8,11.6,17.9,0.084,5.4,1.16,1.44,33.4,1.12,0.16,0.0138,0.0007,2.5,132.8,QSE
16719,1593a1,9,9.2,33.2,9.8,14.7,0.073,5.3,1,1.44,23.6,1.04,0.19,0.0136,0.0012,2.1,115.2,QSE
16720,1593b1,9,10,46.7,14.8,16.3,0.076,5.9,0.8,1.28,12.8,0.67,0.16,0.0124,0.0009,2.6,124.5,QSE
16721,1593c1,9,8,34,13.5,16.9,0.082,6.3,1.16,1.44,26.5,1.35,0.17,0.0163,0.0011,2.7,128.4,QSE
16722,1593d1,9,6.4,36.8,11.3,14.5,0.094,5.1,1.36,1.6,19.8,0.94,0.19,0.0254,0.001,2.2,125.7,QSE
16723,1594a1,9,10.5,48.3,12,17,0.079,4.9,0.8,1.28,12,0.65,0.14,0.023,0.0009,2.2,132.8,QSE
16724,1594b1,9,7.2,36.6,11.2,15.6,0.08,4.6,0.72,1.44,14.2,0.56,0.14,0.0309,0.001,2.5,125.7,QSE
16725,1594c1,9,14.4,60.9,16.2,12.5,0.074,6.1,0.72,1.52,15.5,0.69,0.15,0.0234,0.0011,2,154.2,QSE
16726,1595a1,9,12.1,36.3,14.7,18.6,0.083,5.6,1.24,1.8,18.7,0.98,0.16,0.027,0.001,2.1,139.4,QSE
16129,0957d1,7,13.5,80.2,18.6,22.6,0.117,5.6,1.48,2.33,15.9,0.88,0.21,0.0133,0.0017,3.6,178.3,QC
16130,0957d2,7,14,75.9,17,20.1,0.131,6.2,2.3,2,16.2,0.61,0.18,0.0058,0.0014,3.7,164.1,QC
16131,0958c1,7,12.5,77.9,18.6,18.4,0.103,4.4,1.37,2.33,13.8,0.96,0.24,0.0041,0.0009,3,157.7,QC
16132,0958c2,7,11.4,76.3,16,27.3,0.114,8.6,1.36,2.3,15.6,0.64,0.18,0.0063,0.001,2.5,168.6,QC
16133,0965b1,7,10.7,47.3,14.8,28,0.097,6.9,4.5,5.5,49.5,2.76,1.48,0.0073,0.0009,8.1,186.9,QC
16134,0965c1,7,10.4,41.5,14.9,19.3,0.048,7.2,3.5,3.9,16.3,0.53,166,0.0117,0.0009,6.6,301.9,QC
16135,0965c2,7,9.6,46.2,45.2,34.9,0.073,8.9,2.8,3.88,45.2,2.22,3.77,0.0129,0.0009,7.3,222.9,QC
16136,0965d1,7,8.5,51,12.5,21.5,0.094,4.6,1.78,3.7,23,1.09,0.98,0.0088,0.0009,6.7,144.2,QC
16137,0966a1,7,9.5,56.2,45.2,26.5,0.145,5.6,1.67,2.9,15.6,0.92,0.37,0.0086,0.0009,6.6,179.8,QC
16138,0966a2,7,10.3,55.7,14.6,23.9,0.16,8.1,1.6,2.62,14.9,0.8,0.26,0.0057,0.0009,4.8,143.4,QC
16139,0966b1,7,11.8,60.3,16.1,20.8,0.123,3.5,1.13,2.68,10.6,1.01,0.24,0.0058,0.0008,4,138.1,QC
16140,0975b1,7,9.1,34.4,12.9,13.7,0.049,4.5,0.92,5.7,2.5,0.22,0.7,0.0071,0.001,5.4,97.19,QC
16141,0975d1,7,11.3,39.3,13.7,14.6,0.052,5.7,37.2,10.8,13,0.42,0.34,0.0075,0.0009,8.6,162.5,QC
16142,0975d2,7,10.3,36.1,12.1,14.5,0.075,5.6,1.8,4.73,4.2,0.35,0.99,0.0117,0.0009,5.7,108.1,QC
16143,0976a1,7,8.4,36.1,12.2,13.1,0.061,6.3,4.8,7.4,6,0.35,0.58,0.0093,0.001,8.5,113.1,QC
16144,0976b1,7,12.3,50.8,15.8,25.3,0.112,4.8,8.8,4,45.5,2.18,1.24,0.0088,0.0009,14.7,194.3,QC
16145,0976b2,7,11.3,62.7,13.7,19.3,0.131,5.3,1.8,5.1,17.9,1.07,0.9,0.0107,0.0009,7.6,157.5,QC
16146,0976c1,7,10.7,34.6,11.4,15.2,0.06,5.8,1.73,5.5,8.7,0.33,0.64,0.0069,0.001,6.1,107.7,QC
